DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
01/01/05,0000,1.3567000,1.3586000,1.2920000,1.3036000,0
02/01/05,0000,1.3030000,1.3285000,1.2729000,1.3243000,0
03/01/05,0000,1.3240000,1.3485000,1.2853000,1.2964000,0
04/01/05,0000,1.2959000,1.3131000,1.2765000,1.2939000,0
05/01/05,0000,1.2833000,1.2998000,1.2293000,1.2307000,0
06/01/05,0000,1.2304000,1.2360000,1.1980000,1.2104000,0
07/01/05,0000,1.2100000,1.2263000,1.1865000,1.2124000,0
08/01/05,0000,1.2121000,1.2492000,1.2114000,1.2339000,0
09/01/05,0000,1.2336000,1.2596000,1.1976000,1.2023000,0
10/01/05,0000,1.2019000,1.2212000,1.1873000,1.1989000,0
11/01/05,0000,1.1979000,1.2093000,1.1637000,1.1793000,0
12/01/05,0000,1.1788000,1.2065000,1.1659000,1.1850000,0
01/01/06,0000,1.1845000,1.2327000,1.1799000,1.2152000,0
02/01/06,0000,1.2150000,1.2170000,1.1830000,1.1923000,0
03/01/06,0000,1.1919000,1.2212000,1.1856000,1.2124000,0
04/01/06,0000,1.2121000,1.2644000,1.2028000,1.2636000,0
05/01/06,0000,1.2624000,1.2976000,1.2564000,1.2816000,0
06/01/06,0000,1.2813000,1.2984000,1.2473000,1.2794000,0
07/01/06,0000,1.2789000,1.2865000,1.2456000,1.2776000,0
08/01/06,0000,1.2773000,1.2944000,1.2694000,1.2815000,0
09/01/06,0000,1.2813000,1.2880000,1.2628000,1.2675000,0
10/01/06,0000,1.2739000,1.2787000,1.2480000,1.2767000,0
11/01/06,0000,1.2763000,1.3278000,1.2680000,1.3246000,0
12/01/06,0000,1.3244000,1.3371000,1.3050000,1.3199000,0
01/01/07,0000,1.3200000,1.3300000,1.2864000,1.3033000,0
02/01/07,0000,1.3034000,1.3264000,1.2909000,1.3237000,0
03/01/07,0000,1.3231000,1.3416000,1.3070000,1.3357000,0
04/01/07,0000,1.3374000,1.3686000,1.3316000,1.3655000,0
05/01/07,0000,1.3576000,1.3632000,1.3403000,1.3445000,0
06/01/07,0000,1.3492000,1.3559000,1.3260000,1.3543000,0
07/01/07,0000,1.3537000,1.3857000,1.3526000,1.3681000,0
08/01/07,0000,1.3679000,1.3845000,1.3358000,1.3625000,0
09/01/07,0000,1.3627000,1.4281000,1.3548000,1.4274000,0
10/01/07,0000,1.4281000,1.4505000,1.4010000,1.4485000,0
11/01/07,0000,1.4487000,1.4968000,1.4400000,1.4628000,0
12/01/07,0000,1.4627000,1.5157000,1.4307000,1.4594000,0
01/01/08,0000,1.4594000,1.4922000,1.4362000,1.4866000,0
02/01/08,0000,1.4865000,1.5239000,1.4438000,1.5180000,0
03/01/08,0000,1.5180000,1.5904000,1.5142000,1.5783000,0
04/01/08,0000,1.5783000,1.6019000,1.5508000,1.5614000,0
05/01/08,0000,1.5611000,1.5818000,1.5282000,1.5553000,0
06/01/08,0000,1.5553000,1.5844000,1.5301000,1.5742000,0
07/01/08,0000,1.5744000,1.6038000,1.5518000,1.5597000,0
08/01/08,0000,1.5599000,1.5631000,1.4566000,1.4684000,0
09/01/08,0000,1.4688000,1.4866000,1.3880000,1.4076000,0
10/01/08,0000,1.4074000,1.4174000,1.2327000,1.2723000,0
11/01/08,0000,1.2725000,1.3115000,1.2386000,1.2711000,0
12/01/08,0000,1.2709000,1.4719000,1.2547000,1.3968000,0
01/01/09,0000,1.3968000,1.4069000,1.2761000,1.2823000,116518
02/01/09,0000,1.2823000,1.3088000,1.2511000,1.2668000,0
03/01/09,0000,1.2668000,1.3739000,1.2454000,1.3284000,0
04/01/09,0000,1.3283000,1.3582000,1.2883000,1.3232000,115737
05/01/09,0000,1.3233000,1.4170000,1.3208000,1.4153000,22702
06/01/09,0000,1.4150000,1.4340000,1.3745000,1.4027000,0
07/01/09,0000,1.4028000,1.4304000,1.3830000,1.4253000,0
08/01/09,0000,1.4254000,1.4449000,1.4040000,1.4335000,0
09/01/09,0000,1.4333000,1.4844000,1.4175000,1.4632000,199628
10/01/09,0000,1.4632000,1.5063000,1.4479000,1.4731000,0
11/01/09,0000,1.4715000,1.5145000,1.4624000,1.5013000,98
12/01/09,0000,1.5015000,1.5141000,1.4215000,1.4312000,150233
01/01/10,0000,1.4314000,1.4580000,1.3850000,1.3855000,0
02/01/10,0000,1.3854000,1.4026000,1.3440000,1.3651000,0
03/01/10,0000,1.3650000,1.3818000,1.3265000,1.3506000,0
04/01/10,0000,1.3505000,1.3692000,1.3112000,1.3314000,0
05/01/10,0000,1.3315000,1.3316000,1.2141000,1.2299000,0
06/01/10,0000,1.2301000,1.2489000,1.1874000,1.2227000,0
07/01/10,0000,1.2229000,1.3107000,1.2191000,1.3050000,387279
